Alias,CDM_page_id,CDM_field,Value
cookbooks,7162,fula,"& 1 of salt added to season sufficiently 
Ripe cucumbers sweet pickle.
2 gals of cucumbers, pared, seed taken off, & cut up. 3 pts vinegar, 3 lbs sugar, 2 heaping table spoons of mustard (ground) 2 level spoons of bruised celery seed. 1 heaping table spoon of ginger, 2 heaping tablespoon of Turmeric, 1 do of mace, Boil gently until the fruit look clear,
Cabbage & Onion Pickle.
2 large head of cabbage, 2 doz large onions, 1 doz green peppers, cut all fine, cover with boiling hot weak brine & cover tight. 
Next day squeeze out, add 1/2 cup each celery & white mustard seed. 1/4 cup ground mustard (mixed in the vinegar) 1/2 of turmeric 1 level table spoon black pepper. 3 cups sugar, cook immediately for about an hour. Cover well with vinegar, adding some if necessary while cooking."
cookbooks,7163,fula,"Wines &c.
Blackberry cordial.
2 qts blk berry juice, 1 pt brandy, 1 lb load sugar, 1 oz cloves, 1 of nutmeg, 1 of alspice, 2 of cinnamon.
Cherry wine.
Take rather more morella than black cherries, mash, & squeeze the juice well out. Put 1 gal water to 2 of juice, & 3 lbs sugar to each gal of the mixture, & 1 pt rum to 5 gals. Leave it open for a few days then stop closely. Put in in a cool dry place, let it remain until Oct & then cork off.
Domestic ginger beer. 
Put 2 gals cold water in a pot on the fire. Add to it, 2 oz of good ginger, & 2 lbs white or brown sugar, Let all this come to a boil, & continue for 1/2 hour. Then Skim the liquor, & pour it into a jar, or tub, along with one slicd lemon, & 1/2 oz cream of Tartar. When nearly cold, pour in a tea cupful of good yeast to cause the liquor to work. The beer is now made, & after it has worked for 2 days, strain it, & bottle it. Tie down the corks tightly."
cookbooks,7164,fula,"Cream beer
2 oz Tartaric acid, 2 lbs white sugar, juice of 1/2 a lemon, 3 pts water, Boil together 5 min. When nearly cold add the whites of 3 eggs well beaten, half a cup flour, 1/2 oz essence wintergreen. Bottle, & keep in a cool place. Take 2 tablespoonful of this syrup for a tumbler of water; & add 1/4 teaspoonful soda. It will effervesce slowly.
Ginger beer No 2
Pour 2 gals boiling water on 2 lbs bro sugar, 1 1/2 oz cream tartar, same of pounded ginger, stir well, & put in a cask. When milk warm, put in 1/2 pt good yeast. Shake the cask well, & stop it close. In 24 hours it will be fit to bottle. Tie down the corks, & in 10 days, it well sparkle like champagne. One or two lemons stired into it, improve the flavour. For economy you may substitute a pt of molasses for 2 lbs sugar.
Cherry shrub.
Pick from the stems, & crush Morella cherries. Put them into a jar & set in a pot of water. Let the water boil till the juice is extracted; be careful not to let any get into the juice. Strain through a cloth, which"
cookbooks,7165,fula,"will pass the juice but not the pulp. sweeten, & when clear bottle it. Put a gill of brandy in each bottle cork well, & keep in a cool place. Mix with water, when you use it.
Currant shrub.
To 1 qt juice, 1 lb sugar, Boil & skim it; when cold add 1/2 pt spirit or brandy & bottle.
Raspberry Vinegar
Pour 3 pts best white wine vinegar on a pt & 1/2 fresh red raspberries, & in a stone or china jar. Glazed ware, or metalic vessels will not do. Next day, strain the liquor over the like quantity fresh raspberries, & the following day do the same Then drain off the liquor without pressing them, & strain it through a jelly bag rinsed in plain vinegar. A lb white sugar, (powdered) to each pt juice. When the sugar is dissolved, cover up, & set it in a pot of hot water, & let it boil an hour. Take off the skim, add to each pt, a glass of brandy & bottle.
Elder berry wine.
To each gal of berries, put one of water. Mash them in a tub, & let them stand two days, stirring"
cookbooks,7166,fula,"them frequently. Then strain them, & to each gal of juice put 3 1/2 lbs brown sugar, & to every 5 gals 2 oz bruised ginger, & 1 of cloves, which tie up in a bag, & boil in the wine one hour. Then put it in a cask; when nearly cold put in two spoonfuls of lively yeast, let it ferment 2 days, & then add a pt of spirits, with the bag of spice, & close it up. This is an excellent medicine for delicate elderly persons.
English bitters.
Two oz Peruvian bark, 2 oz Columbia root, two oz Gentian Root, two oz Camomile flowers. Boil in three qts water till the quantity is reduced to two. Strain & bottle. A small wine glass full before each meal will give an appetite, & cleanse the system."
cookbooks,7169,fula,"Delicious dress for fowls.
Spread pieces of stale but tender wheat bread with but liberally, & season rather highly with salt & pepper, working them into the butter a little. Then dip the bread in wine, & use in as large pieces as convenient to stuff the bird. The delicious flavour which the wine gives to the bird is very penetrating, & of a rich gamey character which is very pleasant."
cookbooks,7170,fula,"To Preserve Citron Melon - (Delicious)
cut open & take out the seds -pare off the rind & cut into pieces an inch thick, allow 1 lb white sugar to each pound of citron & to 8 lb, 5 lemons 2 1/2 lb green ginger - scrape, & slice the ginger & boil it with the citron 1 hour -take out the citron, & sugar it down in dishes well with half the sugar l& let it stand until next day Take the rinds from off the lemons & boil them in clear water until you can pierce them with a straw - The citron after standing a night will make a syrup pour it on the peels, & ginger, & add the remaining half of sugar, & boil 1 hour - Then put in the citron & pulp of the lemons, & boill 25 minutes & no longer, or the color will be changed."
cookbooks,7171,fula,"Aunt Carries Delicate Cake
1 cup butter, 2 of Sugar well beaten together, 3 cups of Flour 1 small one of corn-starch, 1 of sweet milk, whites of 8 eggs, one teaspoon of yeast powder The whites added last Bake slowly
Icing for same
3 cups sugar & 1 of water boiled to a thick syrup until it candies & poured boiling hot over the beaten whites of 3 eggs, then stir quickly, & flavor with lemon. or vanilla.
Girts Pudding
Boil one tea cup of girts, when done put in a dish & add 1 teaspoon of butter 1/2 teaspoon of salt, 1 tea cup of milk & 1 well beaten egg bake until brown. Mannie Fentallt"
cookbooks,7172,fula,"Angels Food. = Delicious.
Dissolve 1/2 Tbsp gelatine in one qt milk, beat together the yolks of 3 eggs, 1 cup sugar, & the juice of one lemon, Stir it in the gelatine & milk, & let it just come to a boil, flavor with vanilla, when nearly cold, whip the whites of the eggs to a stiff froth & stir them in the custard, Pour in moulds & set away to cool.
Soft icing -
Half pound of sifted sugar with a table-spoonful boiling water: same quantity of any fruit juice fancied - Spread at once on the cake while yet warm about 1/8 in thick - 
Caramel, or Burnt sugar 
Put 1 cup of sugar, & 2 tea-spoons of water in a sauce-pan on the fire stir constantly until a dark color, then add half a cup of water, & 1 pinch salt, let boil a few minutes, & bottle when cold -"
cookbooks,7173,fula,"American Chow Chow.
Slice equal quantities green peppers, cucumbers & green tomatoes, (taking the seeds from the peppers,) Put them in separate vessels, with a little salt sprinkled among each, to abstract the strong taste from them. Next morning drain them well, & put them together in a stone jar, sprinkling each layer with ground blk pepper, scraped horse radish, a little pounded celery seed & sliced onions, also a very little sugar, cover them with cold vinegar.
Hot pot pickle
Boil in 2 qts vinegar, a 1/4 lb salt, 2 oz shallots, or garlic, 2 of ginger, 1 of pepper, 1 of yellow mustard seed, & 1/4 oz cayenne pepper. Put it in a jar that will hold 2 qts, add 2 oz alspice, & pour on it the hot pickle. When cold put in any kind of pickle you may have ready. 
Sliced sweet pickle peaches. 
To 2 lbs sliced fruit, 1/2 lb sugar, 1/2 pt vinegar, Boil the vinegar & sugar, & skim, then add spice to your taste, & pour boiling hot over the peaches in a jar. Scald & pour over the vinegar 6 or 8 times, or boil the peaches in the syrup."
cookbooks,7174,fula,"Pickle Damsons No 3
8 lbs damsons, 9 of sugar, 1 qt vinegar, alspice, cloves, & mace beaten, stir until the skins break"
